,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
jalu,jalu,67,LY,60,29.03,21.55,56.12,18.21
ust-nera,ust-nera,100,RU,86,64.57,143.2,-4.81,5.32
padang,padang,100,ID,62,-0.95,100.35,81.82,2.75
nyurba,nyurba,100,RU,97,63.28,118.33,-10.08,6.4
hami,hami,1,CN,51,42.8,93.45,23.74,4.43
xining,xining,100,CN,57,36.62,101.77,24.19,8.86
ternovka,ternovka,88,RU,85,51.68,41.64,44.96,6.69
altay,altay,100,CN,69,47.87,88.12,7.29,1.14
posse,posse,100,BR,94,-14.09,-46.37,71.15,3.02
morondava,morondava,0,MG,75,-20.28,44.28,75.49,4.56
beringovskiy,beringovskiy,53,RU,92,63.05,179.32,-5.85,4.09
mount gambier,mount gambier,90,AU,59,-37.83,140.77,66.2,17.22
dzhebariki-khaya,dzhebariki-khaya,100,RU,89,62.22,135.8,-5.67,0.98
galveston,galveston,1,US,82,29.37,-94.97,64.99,17.22
aripuana,aripuana,86,BR,98,-9.17,-60.63,71.94,0.83
neya,neya,100,RU,94,58.3,43.87,30.78,5.3
touros,touros,20,BR,94,-5.2,-35.46,75.2,2.24
kamaishi,kamaishi,75,JP,66,39.27,141.88,55.4,2.24
saint-joseph,saint-joseph,96,RE,78,-21.37,55.62,78.8,28.86
pavlohrad,pavlohrad,100,UA,81,48.52,35.87,46.4,6.71
vila franca do campo,vila franca do campo,75,PT,93,37.72,-25.43,64,7.63
san juan,san juan,100,AR,27,-31.54,-68.54,83.32,10.07
gouyave,gouyave,20,GD,78,12.16,-61.73,77,12.75
san cristobal,san cristobal,75,VE,61,7.77,-72.22,82.4,2.24
lagoa,lagoa,72,PT,92,39.05,-27.98,62.64,16.17
kazachinskoye,kazachinskoye,100,RU,85,57.7,93.28,22.96,15.14
eureka,eureka,75,US,50,40.8,-124.16,51.8,1.57
fukue,fukue,75,JP,77,32.69,128.84,60.8,14.99
apostolove,apostolove,98,UA,93,47.66,33.71,42.8,2.24
kuusamo,kuusamo,90,FI,95,65.97,29.18,33.8,19.46
murchison,murchison,86,NZ,62,-41.8,172.33,63.3,6.46
tayga,tayga,75,RU,92,56.06,85.62,23,15.66
presidencia roque saenz pena,presidencia roque saenz pena,0,AR,39,-26.79,-60.44,79.95,5.08
mayo,mayo,1,US,65,38.89,-76.51,54,8.05
sabzevar,sabzevar,0,IR,28,36.21,57.68,36.54,11.9
asau,asau,90,RO,93,46.43,26.4,43,4.7
malakal,malakal,100,SS,18,9.53,31.66,79.99,5.64
ingleside,ingleside,1,US,82,27.88,-97.21,70,11.41
micco,micco,75,US,63,27.88,-80.5,68,10.29
xapuri,xapuri,80,BR,96,-10.65,-68.5,74.3,1.28
sao joao da barra,sao joao da barra,0,BR,81,-21.64,-41.05,75.11,4.79
luderitz,luderitz,0,NA,77,-26.65,15.16,66.2,21.92
campos,campos,33,BR,95,-21.75,-41.3,68.13,2.33
broken hill,broken hill,6,AU,24,-31.95,141.43,78.8,16.11
fairbanks,fairbanks,90,US,85,64.84,-147.72,21.99,5.82
constanta,constanta,100,RO,100,44.18,28.65,46.4,5.82
trogir,trogir,0,HR,48,43.51,16.25,44.6,4.7
sanchor,sanchor,4,IN,33,24.76,71.77,70.11,9.01
rantepao,rantepao,98,ID,54,-2.97,119.9,85.35,1.7
sabha,sabha,0,LY,36,27.04,14.43,50.34,10.49
nome,nome,40,US,84,64.5,-165.41,-0.4,3.36
veinticinco de mayo,veinticinco de mayo,100,AR,86,-35.43,-60.17,73,8.32
luis correia,luis correia,100,BR,97,-2.88,-41.67,75.94,4.05
vanavara,vanavara,100,RU,92,60.34,102.28,8.37,4.54
wattegama,wattegama,13,LK,100,6.8,81.48,73.4,2.24
grand gaube,grand gaube,75,MU,100,-20.01,57.66,79,12.75
blagoyevo,blagoyevo,41,RU,96,63.37,47.92,15.82,4
mombetsu,mombetsu,75,JP,56,44.35,143.35,42.8,3.36
dolores,dolores,66,AR,62,-36.31,-57.68,65.1,12.75
palma,palma,67,ES,70,39.57,2.65,54,3.36
seoul,seoul,100,KR,37,37.57,126.98,57.2,3.36
sao filipe,sao filipe,1,CV,83,14.9,-24.5,70.11,10.02
olinda,olinda,20,BR,70,-8.01,-34.86,84.2,4.7
marquette,marquette,5,US,98,46.53,-87.63,42.8,12.75
opuwo,opuwo,0,NA,60,-18.06,13.84,65.93,4.5
gibsons,gibsons,5,CA,88,49.4,-123.5,44.01,6.93
esteli,esteli,5,NI,80,13.09,-86.35,69.04,6.08
colares,colares,20,PT,93,38.8,-9.45,57,10.29
teya,teya,100,RU,86,60.38,92.63,23.63,11.77
mount isa,mount isa,0,AU,29,-20.73,139.5,89.6,10.29
takestan,takestan,0,IR,80,36.07,49.7,30.2,2.24
moron,moron,33,AR,94,-34.65,-58.62,82.4,3.36
manokwari,manokwari,95,ID,84,-0.87,134.08,76.87,2.66
forecariah,forecariah,55,GN,94,9.43,-13.09,71.96,2.13
utrera,utrera,0,ES,80,37.19,-5.78,59,3.36
saint-prosper,saint-prosper,85,CA,96,46.21,-70.48,23.92,3.33
ulladulla,ulladulla,75,AU,63,-35.35,150.47,66.99,13.87
sulangan,sulangan,100,PH,77,11.14,123.72,81,7.34
visnes,visnes,90,NO,87,59.36,5.22,44.6,13.87
marabba,marabba,69,SD,16,12.35,32.18,76.64,9.22
riverton,riverton,40,US,87,40.52,-111.94,48.99,8.05
novovorontsovka,novovorontsovka,99,UA,75,47.5,33.92,46.45,9.51
domoni,domoni,92,KM,79,-12.26,44.53,83.48,8.9
te anau,te anau,100,NZ,77,-45.42,167.72,56.61,2.77
shagonar,shagonar,100,RU,87,51.53,92.8,2.88,1.61
pekalongan,pekalongan,55,ID,68,-6.89,109.68,85.8,6.11
gladstone,gladstone,90,AU,74,-23.85,151.25,80.6,13.87
carlagan,carlagan,82,PH,73,14.97,122.05,83.37,4.21
ugoofaaru,ugoofaaru,0,MV,62,5.67,73,82.27,4.97
santa rosa,santa rosa,20,PH,66,14.31,121.11,90,8.05
necochea,necochea,0,AR,77,-38.55,-58.74,63,1.99
alpena,alpena,1,US,34,45.06,-83.43,51.8,8.05
robertson,robertson,1,US,30,36.52,-86.87,59,8.05
sillod,sillod,20,IN,56,20.3,75.65,69.8,4.72
chicama,chicama,40,PE,78,-7.84,-79.15,73.4,9.17
karakol,karakol,0,KG,47,42.49,78.39,19.98,1.74
turukhansk,turukhansk,42,RU,80,65.82,87.98,-2.54,8.25
talnakh,talnakh,0,RU,62,69.49,88.4,-13,2.24
pochutla,pochutla,40,MX,83,15.74,-96.47,82.99,16.64
novichikha,novichikha,100,RU,79,52.2,81.39,14.72,22.01
fort nelson,fort nelson,75,CA,79,58.81,-122.7,21.2,2.24
fort saint james,fort saint james,41,CA,93,54.43,-124.25,15.69,0.89
kieta,kieta,84,PG,70,-6.22,155.63,84.99,2.53
takoradi,takoradi,0,GH,90,4.88,-1.76,78.13,3.02
bend,bend,75,US,93,44.06,-121.32,42.8,1.03
linxia,linxia,100,CN,64,35.6,103.21,25.18,6.78
irtyshskiy,irtyshskiy,100,RU,96,58.33,68.13,27.93,8.9
berbera,berbera,100,SO,78,10.44,45.01,78.49,9.84
maceio,maceio,20,BR,94,-9.67,-35.74,77,3.36
okha,okha,100,RU,95,53.57,142.95,28.8,4.9
ekhabi,ekhabi,100,RU,95,53.51,142.97,28.8,4.9
shakhovskaya,shakhovskaya,86,RU,93,56.03,35.51,35.65,7.02
port hardy,port hardy,20,CA,86,50.7,-127.42,37.4,2.24
oistins,oistins,20,BB,69,13.07,-59.53,78.8,10.29
guiratinga,guiratinga,73,BR,82,-16.35,-53.76,71.65,3.33
chilca,chilca,40,PE,69,-12.52,-76.74,77,11.41
shenjiamen,shenjiamen,100,CN,99,29.96,122.3,56.16,13.94
kathu,kathu,20,TH,62,7.92,98.33,86,6.93
stornoway,stornoway,31,GB,87,58.21,-6.39,35.01,3.36
pelym,pelym,100,RU,97,61.01,62,25.9,4.52
diffa,diffa,18,NE,7,13.32,12.61,75.51,7.67
dingle,dingle,100,PH,69,11,122.67,85.12,6.53
listvyanskiy,listvyanskiy,100,RU,90,54.44,83.5,17.4,17.83
hefei,hefei,90,CN,100,31.86,117.28,50,11.18
mgandu,mgandu,100,TZ,98,-5.95,34.13,62.01,4.9
okhotsk,okhotsk,100,RU,78,59.38,143.3,8.4,4.14
doka,doka,86,SD,29,13.52,35.77,70.38,5.84
anaconda,anaconda,90,US,51,46.13,-112.94,35.6,3.36
dire,dire,0,ML,12,12.28,-10.97,72.23,1.28
korem,korem,6,ET,71,12.51,39.52,55.17,1.5
sulya,sulya,20,IN,78,12.57,75.38,77,4.7
flin flon,flin flon,100,CA,98,54.77,-101.86,-2.79,4.68
alofi,alofi,32,NU,79,-19.06,-169.92,84.2,6.93
voyvozh,voyvozh,0,RU,93,62.89,54.96,13.35,2.1
erenhot,erenhot,59,CN,44,43.65,111.98,24.64,17.05
andenes,andenes,100,NO,93,69.31,16.12,35.6,14.99
suntar,suntar,100,RU,89,62.14,117.63,7.43,4.94
princeton,princeton,40,US,56,25.54,-80.41,71.6,13.87
beni mazar,beni mazar,100,EG,33,28.5,30.8,62.38,10.09
kuandian,kuandian,100,CN,78,40.73,124.78,40.53,3.8
dobroye,dobroye,90,RU,100,52.87,39.81,44.6,4.47
conceicao do mato dentro,conceicao do mato dentro,82,BR,98,-19.04,-43.42,64.89,1.81
atar,atar,100,MR,12,20.52,-13.05,74.75,7.72
bilibino,bilibino,100,RU,74,68.05,166.44,-4.92,1.63
harlingen,harlingen,1,US,73,26.19,-97.7,73,12.75
lamu,lamu,100,KE,76,-2.27,40.9,83.43,7.99
leningradskiy,leningradskiy,0,RU,78,69.38,178.42,-9.09,6.4
hitiaa,hitiaa,20,PF,62,-17.6,-149.3,89.6,8.05
caravelas,caravelas,100,BR,82,-17.71,-39.25,79.7,14.07
mineiros,mineiros,0,BR,91,-17.57,-52.55,65.26,2.24
starosubkhangulovo,starosubkhangulovo,100,RU,91,53.1,57.44,18.54,5.79
chandur,chandur,0,IN,66,19.73,79.18,75.58,6.06
thunder bay,thunder bay,40,CA,62,48.4,-89.32,32,11.41
santa maria,santa maria,0,BR,43,-29.68,-53.81,73.17,6.87
olafsvik,olafsvik,100,IS,77,64.89,-23.71,25.48,18.7
freeport,freeport,1,US,39,40.66,-73.58,54,8.05
radovis,radovis,100,MK,86,41.64,22.46,41,7
lufkin,lufkin,20,US,67,31.34,-94.73,63,9.17
edd,edd,100,ER,78,13.93,41.69,76.77,5.66
gusinoye ozero,gusinoye ozero,100,RU,82,51.11,106.26,11.05,5.64
pimenta bueno,pimenta bueno,99,BR,96,-11.67,-61.19,72.43,3.06
yerbogachen,yerbogachen,100,RU,91,61.28,108.01,5.4,6.55
galeana,galeana,100,MX,60,24.83,-100.07,59,8.99
pangnirtung,pangnirtung,100,CA,87,66.15,-65.71,-14.71,13.33
tabuk,tabuk,4,PH,67,17.42,121.44,85.32,7.38
alice springs,alice springs,0,AU,23,-23.7,133.88,84.2,13.87
scarborough,scarborough,16,GB,86,54.28,-0.4,42.01,6.93
navur,navur,0,AM,85,40.87,45.34,40.69,0.4
muisne,muisne,20,EC,92,0.6,-80.03,75.47,5.1
igarka,igarka,0,RU,83,67.47,86.58,-10.17,7.54
nouna,nouna,5,BF,8,12.73,-3.87,77.94,5.01
lago da pedra,lago da pedra,100,BR,99,-4.33,-45.17,74.84,5.5
wewak,wewak,100,PG,65,-3.55,143.63,86.63,13.13
naryan-mar,naryan-mar,100,RU,92,67.67,53.09,21.11,14.29
khislavichi,khislavichi,0,RU,91,54.19,32.16,37.71,1.72
burley,burley,90,US,45,42.54,-113.79,44.6,4.7
hilton head island,hilton head island,20,US,81,32.22,-80.75,57,3.36
mayumba,mayumba,44,GA,82,-3.43,10.66,81.99,7.36
naruja,naruja,0,GE,44,41.91,41.95,59,20.8
